ï»¿active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,region,region_fr,phu_id,PHU,PHU_fr,phone,website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,additional_information,additional_information_fr,age_threshold,asl_interpretation,email,first_nations,free_parking,french_language_services,general_population,holiday_hours,paid_parking,pharmacy,public_transit,symptomatic,temporarily_closed,weeks_pregnant
Yes,1,Kirkland and District Hospital,Kirkland and District Hospital,Kirkland Lake Hospital,Kirkland Hospital,Kirkland Lake,145 Government Road East,145 chemin Government Est,P2N 3P4,ON,48.153552,-80.014725,North,Nord,1,Timiskaming Health Unit,Services de santÃ© du Timiskaming,705-568-2127,,9:00-13:00,9:00-13:00,9:00-13:00,9:00-13:00,9:00-13:00,,,Yes,Yes,No,Yes,,Yes,,,,,,,,,,,,,,Yes,,
Yes,2,South Georgian Bay Regional Assessment Centre ,,Georgian Bay Family Health Team ,,Collingwood,490 Ontario Street,,L9Y 1N6,ON,44.503928,-80.201516,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santÃ© publique du district de Simcoe-Muskoka,705-444-5885,http://www.gbfht.ca/cac,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,Yes,,Yes,"Located in the back parking lot Royal Canadian Legion, so please use the Erie Street entrance, NOT the Ontario Street Entrance. There is no parking fee.  Please use the wait list app on www.gbfht.ca/cac or call to schedule an appointment","SituÃ© dans la tente dans le stationnement de lâ€™Ã‰quipe de SantÃ© Familiale, Ã  cÃ´tÃ© de lâ€™hÃ´pital.",0m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,3,Midland Assessment Centre,Midland Assessment Centre,Georgian Bay General Hospital,HÃ´pital gÃ©nÃ©ral de la baie Georgienne,Midland,1156 St. Andrews Drive,,L4R 4P4,ON,44.741840,-79.912455,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santÃ© publique du district de Simcoe-Muskoka,705-529-1025,http://gbgh.on.ca/covid-19-novel-coronavirus-updates/,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-16:00,,,Yes,No,No,,Yes,Please call to schedule an appointment after completing the self-assessment tool on the hospital's website. Appointments for swabbing can be booked via phone by calling 705-529-1025 and follow signs/directional signs to the entrance. Clients will see a greeter at the door when they pull up into the parking lot,,0m,No,,Beausoleil First Nation,Yes,Yes,,,,,Yes,Yes,,
Yes,4,Milton District Hospital,HÃ´pital du district de Milton,Halton Healthcare Services,Halton Healthcare Services,Milton,725 Bronte Street South,725 rue Bronte Sud,L9T 9K1,ON,43.497418,-79.868476,Central,Centre,3,Halton Region Health Department,Service de santÃ© de la rÃ©gion d'Halton,905-203-7963,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,,Yes,No,No,,Yes,Arrive at scheduled time (no more than 5 minutes early) to the Outpatient Entrance of Milton District Hospital. This is the entrance facing Bronte Street and is marked with yellow flags. Further specific details are provided when appointment is booked.,,0m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,5,Oakville Trafalgar Memorial Hospital,Oakville Trafalger Memorial Hospital,Halton Healthcare Services,Halton Healthcare Services,Oakville,3001 Hospital Gate,3001 Hospital Gate,L6M 0L8,ON,43.450869,-79.763927,Central,Centre,3,Halton Region Health Department,Service de santÃ© de la rÃ©gion d'Halton,905-203-7963,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,,Yes,No,No,,Yes,Arrive at scheduled time (no more than 5 minutes early) to the South Entrance of Oakville Trafalgar Memorial Hospital. This is the entrance facing Dundas Street and is marked with multi-coloured flags. Do not enter via the Emergency Department. Further specific details are provided when appointment is booked.,,0m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,6,Georgetown Hospital,HÃ´pital de Georgetown,Halton Healthcare Services,Halton Healthcare Services,Georgetown,1 Princess Anne Drive,1 chemin Princess Anne,L7G 2B8,ON,43.644985,-79.933321,Central,Centre,3,Halton Region Health Department,Service de santÃ© de la rÃ©gion d'Halton,905-203-7963,https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,,Yes,No,No,,Yes,Arrive at scheduled time (no more than 5 minutes early) to the mobile testing centre located at rear of Georgetown Hospital. Further specific details are provided when appointment is booked.,,0m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,7,Headwaters Health Care Centre,Headwaters Health Care Centre,Headwaters Health Care Centre,Headwaters Health Care Centre,Orangeville,100 Rolling Hills Drive,100 chemin Rolling Hills,L9W 4X9,ON,43.920776,-80.072523,Central,Centre,4,Wellington-Dufferin-Guelph Health Unit,Bureau de santÃ© publique de Wellington-Dufferin-Guelph,833-442-2001,https://www.headwatershealth.ca/,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,,Yes,No ,No,,No,"Please call 1-833-442-2001 between the hours of 8:30 am and 4:30 pm daily to book an appointment.  Located beside the Emergency Department.  Last patient is seen at 9:40 pm.  For children under 2 years of age and requiring COVID-19 testing, please visit the Emergency Department. 

Appointment and location details: Appointment only.  Call or go online at www.headwatershealth.ca to book an appointment.  No drive through available.  Near public transit.",,2y,No,,,,No,,,Yes,,Yes,Yes,,
Yes,8,MacKenzie Health,MacKenzie Health,MacKenzie Health,MacKenzie Health,Richmond Hill,10 Trench Street,10 rue Trench ,L4C 4Z3,ON,43.870017,-79.450278,Central,Centre,5,York Region Public Health Services,Service de santÃ© de la rÃ©gion de York,905-883-1212 ext. 2004,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-17:30,10:00-17:30,,Yes,No,No,,,,,6m,,,,,,,,,,,Yes,,20
Yes,9,Markham Stouffville Hospital ,HÃ´pital de Markham-Stouffville,Markham Stouffville Hospital ,HÃ´pital de Markham-Stouffville,Markham,381 Church Street,381 rue Church,L3P 7P3,ON,43.884138,-79.231961,Central,Centre,5,York Region Public Health Services,Service de santÃ© de la rÃ©gion de York,,https://www.msh.on.ca/,9:00-19:00,9:00-19:00,9:00-19:00,9:00-19:00,9:00-19:00,9:00-17:00,9:00-17:00,,Yes,No,No,,Yes,"To get tested at Markham Stouffville Hospitalâ€™s COVID-19 Assessment Centre you must meet current OH guidance for screening and REGISTER online to book an appointment at https://www.msh.on.ca/clinics-departments/covid-19-assessment-centre#registration


 We do swab all ages at our assessment center.",,0m,No,,,,No,,9:00-17:00,Yes,,Yes,Yes,,
,10,Bracebridge Rotary Centre,Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,Muskoka Algonquin Healthcare,Bracebridge,131 Wellington Street,131 rue Wellington,P1L 1E2,ON,45.037419,-79.318023,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santÃ© publique du district de Simcoe-Muskoka,888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,Yes,,Yes,,,0m,No,,Moose Deer Point and Wahta First Nations,Yes,No,Yes,,,,No,Yes,Yes,
