Assessment centre,operated by,Website,Phone number,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations
Humber River Hospital Assessment Centre,Humber River Hospital,https://www.hrh.ca/covid-19/,416-747-6740,,Yes,Philip,"Got forwarded to centre manager, left a message","Claudette Moulton, patien representative at HRH: cmoulton@hrh.ca",Centre manager Denise Scott:  416 243 4122,,,,,,,,,,
Michael Garron Hospital - Emergency Department,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,Yes,Philip,Sent email,patient.relations@tehn.ca,Michael Garron Hospital patient relations line: 416-469-6096,,,,,,,,,,
Michael Garron Hospital - Outpatient Clinic,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,Yes,Philip,Marked inactive,,,,,,,,,,,,
Market Place Temporary Assessment Centre,Michael Garron Hospital,https://www.tehn.ca/programs-services/covid-19-assessment-centre,416-469-6858,,Yes,Philip,Marked inactive,,,,,,,,,,,,
Mount Sinai Hospital,Mount Sinai Hospital,https://www.sinaihealth.ca/covid19/,416-586-4800 ext. 4924 or 4893,,Yes,Philip,Was told they couldn't answer questions??,upasana.saha@sinaihealth.ca,General inquiries: 416-461-8252,,,,,,,,,,
North York General Hospital - Branson,North York General Hospital - Branson,https://nygh.on.ca/covid-19-updates,416-756-6000,,Yes,Philip,Covered Big IDeA features + queuing,patientexperience@nygh.on.ca,Branson Ambulatory Care Centre: 416-633-9420   ,,Yes,No,Yes,Partial: there is a wheelchair-accessible washroom in the asymptomatic testing area,Yes,Audio information by phone,"No ASL interpretation, yes assassistance navigating the centre",Yes,Yes
North York General Hospital - Emergency Department,North York General Hospital,,,,Yes,Philip,Sent email,patientexperience@nygh.on.ca,General site: 416-756-6000,,,,,,,,,,
Scarborough Health Network - Birchmount,Scarborough Health Network - Birchmount,https://www.shn.ca/covid19-assess/,416-495-2601,,Yes,Philip,Sent email,covidassessmentcentre@shn.ca,Birchmount: 416-495-2400 ext. 5424,,,,,,,,,,
Scarborough Health Network Centenary Site,Scarborough Health Network Centenary Site,https://www.shn.ca/covid19-assess/,416-495-2601,,Yes,Philip,Sent email,covidassessmentcentre@shn.ca,Centenary: 416-284-8131 ext. 4742,,,,,,,,,,
Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre,416-480-6100 ext 1629,,Yes,Philip,Covered Big IDeA features + queuing,questions@sunnybrook.ca,Sunnybrook Bayview Campus contact: 416-480-6100,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
