active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,region,region_fr,phu_id,PHU,PHU_fr,phone,website,monday,tuesday,wednesday,thursday,friday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,saturday,sunday,age_threshold,french_language_services,asl_interpretation,paid_parking,public_transit,additional_information,additional_information_fr,first_nations,free_parking,weeks_pregnant,general_population,holiday_hours,email,temporarily_closed
Yes,1,Kirkland and District Hospital,Kirkland and District Hospital,Kirkland Lake Hospital,Kirkland Hospital,Kirkland Lake,145 Government Road East,145 chemin Government Est,P2N 3P4,ON,48.153552,-80.014725,North,Nord,1,Timiskaming Health Unit,Services de santé du Timiskaming,705-568-2127,,9:00-13:00,9:00-13:00,9:00-13:00,9:00-13:00,9:00-13:00,Yes,Yes,No,Yes,,Yes,,,,,,,,,,,,,,,,
Yes,2,Collingwood Health Centre,Collingwood Health Centre,Georgian Bay Family Health Team and Collingwood General & Marine Hospital,Équipe Santé familiale de la baie Georgienne et Collingwood General & Marine Hospital,Collingwood,186 Erie Street,186 rue Erie,L9Y 4T3,ON,44.501231,-80.204437,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,705-444-5885,www.gbfht.ca/cac ,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,Yes,,Yes,,,0m,No,No,Yes,Yes,"Located in the tent in the parking lot of the Family Health Team, next to the hospital. There is no parking fee if client arrives at their appointment time and is directed through the drive-through. Please call to schedule an appointment","Situé dans la tente dans le stationnement de l’Équipe de Santé Familiale, à côté de l’hôpital.",,,,,,,
Yes,3,Midland Assessment Centre,Midland Assessment Centre,Georgian Bay General Hospital,Hôpital général de la baie Georgienne,Midland,"845 King Street, Unit 3",845 rue King,L4R 0B7,ON,44.734750,-79.870959,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,705-529-1025,http://gbgh.on.ca/covid-19-self-assessment-tool/,8:00-16:00,,8:00-20:00,,8:00-16:00,,Yes,No,No,,Yes,8:00-20:00,,0m,Yes,No,,Yes,Please call to schedule an appointment after completing the self-assessment tool on the hospital's website. Follow signs on windows and directional signs to the entrance. Clients will see a greeter at the door when they pull up into the parking lot. ,,Beausoleil First Nation,Yes,,,,,
Yes,4,Milton District Hospital,Hôpital du district de Milton,Halton Healthcare Services - Milton,Halton Healthcare Services - Milton,Milton,725 Bronte Street South,725 rue Bronte Sud,L9T 9K1,ON,43.497418,-79.868476,Central,Centre,3,Halton Region Health Department,Service de santé de la région d'Halton,905-203-7963,https://www.haltonhealthcare.on.ca/,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,,Yes,No,,,,9:00-16:30,9:00-16:30,,,,,,,,,,,,,,
Yes,5,Oakville Trafalgar Memorial Hospital,Oakville Trafalger Memorial Hospital,Halton Healthcare Services - Oakville,Halton Healthcare Services - Oakville,Oakville,3001 Hospital Gate,3001 Hospital Gate,L6M 0L8,ON,43.450869,-79.763927,Central,Centre,3,Halton Region Health Department,Service de santé de la région d'Halton,905-203-7963,https://www.haltonhealthcare.on.ca/,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,,Yes,No,,,,9:00-16:30,9:00-16:30,,,,,,,,,,,,,,
Yes,6,Georgetown Hospital,Hôpital de Georgetown,Halton Healthcare Services - Georgetown,Halton Healthcare Services - Georgetown,Georgetown,1 Princess Anne Drive,1 chemin Princess Anne,L7G 2B8,ON,43.644985,-79.933321,Central,Centre,3,Halton Region Health Department,Service de santé de la région d'Halton,905-203-7963,https://www.haltonhealthcare.on.ca/,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,,Yes,No,,,,9:00-16:30,9:00-16:30,,,,,,,,,,,,,,
Yes,7,Headwaters Health Care Centre,Headwaters Health Care Centre,Headwaters Health Care Centre,Headwaters Health Care Centre,Orangeville,140 Rolling Hills Drive,140 chemin Rolling Hills,L9W 4X9,ON,43.920672,-80.072222,Central,Centre,4,Wellington-Dufferin-Guelph Health Unit,Bureau de santé publique de Wellington-Dufferin-Guelph,519-822-2715 ext. 7006,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,,,Yes,Yes,,No,9:00-16:00,9:00-16:00,2y,No,No,Yes,Yes,Located in the driveway beside the health care centre.,Situé dans l’entrée à côté du le centre de soins de santé.,,,,,,,
Yes,8,MacKenzie Health,MacKenzie Health,MacKenzie Health,MacKenzie Health,Richmond Hill,10 Trench Street,10 rue Trench ,L4C 4Z3,ON,43.870017,-79.450278,Central,Centre,5,York Region Public Health Services,Service de santé de la région de York,905-883-1212 ext. 2004,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,,Yes,No,,,,10:00-17:30,10:00-17:30,6m,,,,,,,,,20,,,,
Yes,9,Markham Stouffville Hospital ,Hôpital de Markham-Stouffville,Markham Stouffville Hospital ,Hôpital de Markham-Stouffville,Markham,381 Church Street,381 rue Church,L3P 7P3,ON,43.884138,-79.231961,Central,Centre,5,York Region Public Health Services,Service de santé de la région de York,,https://www.msh.on.ca/about-us/covid-19-information-page#assessment,9:00-19:00,9:00-19:00,9:00-19:00,9:00-19:00,9:00-19:00,,No,Yes,No,,Yes,9:00-19:00,9:00-19:00,0m,No,No,Yes,Yes,"Located in the trailer beside the main building. Park in lot 7 and follow signs across the road to the assessment centre. There are shaded areas to wait, hand sanitizing stations, and washrooms.  ",Situé dans la roulotte directement à côté du bâtiment principal.,,,,,,,
Yes,10,Bracebridge Rotary Centre,Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,Muskoka Algonquin Healthcare,Bracebridge,131 Wellington Street,131 rue Wellington,P1L 1E2,ON,45.037419,-79.318023,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,1-888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes,,,0m,No,No,,No,,,Moose Deer Point and Wahta First Nations,Yes,,Yes,,,
Yes,11,Huntsville District Memorial Hospital,Hôpital Memorial du district de Huntsville,Muskoka Algonquin Healthcare,Muskoka Algonquin Healthcare,Huntsville,100 Frank Miller Drive,100 chemin Frank Miller,P1H 1H7,ON,45.339214,-79.205680,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,1-888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes,,,0m,No,No,,No,,,Moose Deer Point and Wahta First Nations,Yes,,Yes,,,
Yes,12,Orillia Soldiers' Memorial Hospital,Hôpital Soldiers' Memorial d'Orillial,Orillia Soldiers' Memorial Hospital,Hôpital Soldiers' Memorial d'Orillial,Orillia,170 Colborne Street East,170 rue Colborne Est,L3V 2Z3,ON,44.605137,-79.425686,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,705-325-2201,https://www.osmh.on.ca/covid-19/,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,,,Yes,No,,Yes,11:00-14:30,11:00-14:30,0m,No,No,,Yes,Located in the tent in the parking lot. People coming to the center should access Volunteer Drive off of Mississauga Street.,Situé dans la tente dans le stationnement.,Yes - Rama First Nation,Yes,,Yes,,,
Yes,13,Barrie Community Health Centre,Barrie Community Health Centre,Royal Victoria Regional Health Centre,Royal Victoria Regional Health Centre,Barrie,490 Huronia Road,490 chemin Huronia,L4N 6M2,ON,44.347160,-79.665693,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,,https://www.rvh.on.ca/SitePages/coronavirus.aspx,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,,,Yes,No,,Yes,9:00-14:00,9:00-14:00,0m,No,No,,Yes,Located in the rear building behind the Huronia Urgent Care Clinic.,Situé dans le bâtiment arrière.,,Yes,,,,,
Yes,14,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Newmarket,596 Davis Drive,596 chemin Davis,L3Y 2P9,ON,44.060427,-79.452114,Central,Centre,5,York Region Public Health Services,Service de santé de la région de York,905-895-4521,https://southlake.ca/covid-19/#assessment-centre,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,,No,Yes,No,,Yes,9:00-21:00,9:00-21:00,0m,Yes,Yes,Yes,Yes,"Located in the tent in the parking lot. When you arrive, go to the main entrance of the Emergency Department.","Situé dans la tente dans le stationnement. À votre arrivée, dirigez-vous vers l’entrée principale du service des urgences.",,,,,,,
Yes,15,Stevenson Memorial Hospital,Hôpital Stevenson Memorial,Stevenson Memorial Hospital,Hôpital Stevenson Memorial,Alliston,200 Fletcher Crescent,200 Fletcher Crescent,L9R 1W7,ON,44.155578,-79.875078,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,705-435-6281,http://www.stevensonhospital.ca/news/index.html?id=265,8:00-12:00,,8:00-12:00,,8:00-12:00,,No,Yes,Yes,No,Yes,,,2y,No,No,Yes,No,Drive-through centre located in the back parking lot.,Situé dans le stationnement.,,,,,,,
